iteration,stage,runtime_s,started_at
-,base,79.44,2026-05-27T06:05:39
-,default,19.05,2026-05-27T06:06:58
1,reporter,0.46,2026-05-27T06:07:17
1,planner,259.01,2026-05-27T06:07:18
1,plan1,17.56,2026-05-27T06:11:54
1,plan2,17.40,2026-05-27T06:11:54
1,plan3,16.80,2026-05-27T06:11:54
1,workers_total,17.57,2026-05-27T06:11:37
1,selector,121.53,2026-05-27T06:11:54
1,iteration_total,398.58,2026-05-27T06:07:17
2,reporter,0.45,2026-05-27T06:13:56
2,planner,348.57,2026-05-27T06:13:56
2,plan1,18.54,2026-05-27T06:20:03
2,plan2,16.69,2026-05-27T06:20:03
2,plan3,17.69,2026-05-27T06:20:03
2,workers_total,18.55,2026-05-27T06:19:45
2,selector,122.03,2026-05-27T06:20:03
2,iteration_total,489.61,2026-05-27T06:13:56
3,reporter,0.48,2026-05-27T06:22:05
3,planner,195.61,2026-05-27T06:22:06
3,plan1,19.38,2026-05-27T06:25:41
3,plan2,18.11,2026-05-27T06:25:41
3,plan3,17.21,2026-05-27T06:25:41
3,workers_total,19.38,2026-05-27T06:25:22
3,selector,77.03,2026-05-27T06:25:41
3,iteration_total,292.52,2026-05-27T06:22:05
4,reporter,0.49,2026-05-27T06:26:58
4,planner,149.46,2026-05-27T06:26:58
4,plan1,19.19,2026-05-27T06:29:47
4,plan2,18.75,2026-05-27T06:29:47
4,workers_total,19.20,2026-05-27T06:29:28
4,selector,184.13,2026-05-27T06:29:47
4,iteration_total,353.27,2026-05-27T06:26:58
5,reporter,0.48,2026-05-27T06:32:51
5,planner,235.51,2026-05-27T06:32:52
5,plan1,17.62,2026-05-27T06:37:05
5,plan2,17.76,2026-05-27T06:37:05
5,plan3,17.92,2026-05-27T06:37:05
5,workers_total,17.93,2026-05-27T06:36:47
5,selector,1.39,2026-05-27T06:37:05
5,iteration_total,255.31,2026-05-27T06:32:51
